logFC	AveExpr	t	P.Value	adj.P.Val	B
FAM195B	-0.702787294117652	8.4932937037037	-6.73654186165311	2.60000648042148e-07	0.00261235333486945	6.65428668949116
EPRS	0.687630411764706	8.36404851851852	6.70139734463166	2.85092686479878e-07	0.00261235333486945	6.57352563975867
DECR1	0.951928764705875	7.93615444444444	6.69528231066133	2.89703534104996e-07	0.00261235333486945	6.55945608488218
TGS1	1.21523217647059	6.56728481481481	6.15093669961892	1.22651674534683e-06	0.00757871185972743	5.28752265691877
CTNNBIP1	1.19570370588235	7.37144851851852	6.10133622268746	1.40076738498585e-06	0.00757871185972743	5.16983999262701
ADGRG1	1.35193964705882	7.34219074074074	5.95381221660014	2.08193236856365e-06	0.00938673907239733	4.81824596040797
CHURC1 /// CHURC1-FNTB	1.26532211764706	7.1931937037037	5.7771429172656	3.35342729835467e-06	0.0119567526276022	4.39429975266267
SLIRP	1.42610005882353	8.16747814814815	5.7438845380776	3.66913278249833e-06	0.0119567526276022	4.31416556434353
RPL12 /// RPL12P1 /// RPL12P16 /// RPL12P4	1.08116117647059	10.8553088888889	5.69235699704034	4.21852818776321e-06	0.0119567526276022	4.18982243327993
LOC102606465	0.640860411764705	3.5115362962963	5.64711663248281	4.76893180328901e-06	0.0119567526276022	4.08046721917327
SLC44A3	1.15228358823529	6.30833111111111	5.61852445868726	5.1535660260067e-06	0.0119567526276022	4.01126869436189
SCARNA11	-0.767308764705881	6.54093333333333	-5.60792988195776	5.30389736548968e-06	0.0119567526276022	3.98561144589352
NDUFB1	0.974640470588236	6.86603148148148	5.53647336470986	6.43996957698143e-06	0.0134010813074232	3.81234034140326
YWHAE /// YWHAEP1	1.04147782352941	8.8003337037037	5.47978379384008	7.51330971601055e-06	0.0141710964342002	3.67461472811416
PDIA3 /// PDIA3P1	1.11369152941177	9.99598481481481	5.46331223250324	7.85769800802171e-06	0.0141710964342002	3.6345564759935
PSME1	1.47385229411765	7.22051592592593	5.41658827791272	8.92350258530854e-06	0.0150874119961104	3.52082980171077
ZDHHC4	0.765977588235293	7.68852481481481	5.34430928550822	1.08658027669589e-05	0.0169082864932232	3.34464009179026
C18orf32 /// RPL17 /// RPL17-C18orf32	1.00318194117647	9.40294592592593	5.31536737093076	1.17579320621732e-05	0.0169082864932232	3.27400761300957
RPL12	1.06237235294117	10.9869088888889	5.31171721526422	1.18755523943236e-05	0.0169082864932232	3.26509627358517
